ticket,fare
110152,86.5
110413,79.65
110465,52
110469,26
110489,26.55
110564,26.55
110813,75.25
111163,26
111240,33.5
111320,38.5
111361,57.9792
111369,30
111426,26.55
111427,26.55
111428,26.55
112050,0
112051,0
112052,0
112053,30
112058,0
112059,0
112277,31
112377,27.7208
112378,59.4
112379,39.6
112901,26.55
113028,26.55
113038,42.5
113043,28.5
113044,26
113050,26.55
113051,27.75
113054,30.5
113055,26.55
113056,26
113059,47.1
113501,30
113503,211.5
113505,55
113509,61.9792
113510,35
113514,26.55
113572,80
113760,120
113767,50
113773,53.1
113776,66.6
113778,26.55
113780,28.5
113781,151.55
113783,26.55
113784,35.5
113786,30.5
113787,30.5
113788,35.5
113789,52
113790,26.55
113791,26.55
113792,26.55
113794,26.55
113795,26.55
113796,42.4
113798,31
113800,26.55
113801,45.5
113803,53.1
113804,30.5
113806,53.1
113807,26.55
11668,21
11751,52.5542
11752,26.2833
11753,52.5542
11755,39.6
11765,55.4417
11767,83.1583
11769,51.4792
11770,25.7
11771,29.7
11774,29.7
11778,55.4417
11813,76.2917
11967,91.0792
1222,7.8792
12233,13
12460,7.75
12749,93.5
13049,40.125
13050,75.2417
13213,35.5
13214,30.5
13236,57.75
13502,77.9583
13507,55.9
13508,136.7792
13509,26.55
13567,79.2
13568,49.5
13695,60
13905,26
14311,7.75
14312,7.75
14313,7.75
14973,8.05
1601,56.4958
16966,134.5
16988,30
17421,110.8833
17453,89.1042
17463,51.8625
17464,51.8625
17465,25.9292
17466,25.9292
17474,57
17475,26.55
17764,30.6958
17765,27.7208
17770,27.7208
19877,78.85
19924,26
19928,90
19943,90
19947,35.5
19950,263
19952,26.55
19972,0
19988,30.5
19996,52
2003,26
211535,13
211536,13
21228,82.2667
21332,7.7333
21440,8.05
218629,13.5
219533,12.35
220367,13
220844,13.5
220845,65
2223,8.3
223596,13.5
226593,12.35
226875,26
228414,26
229236,13
230080,26
230136,39
230433,26
230434,13
231919,23
231945,11.5
233478,13
233639,13
233734,12.35
233866,13
234360,13
234604,13
234686,13
234818,12.35
235509,12.35
236171,13
236852,13
236853,26
236854,13
237216,13.5
237249,13
237393,13
237442,13.5
237565,15
237668,13
237670,13
237671,13
237734,15.0458
237735,15.0458
237736,30.0708
237789,30
237798,13
239059,16
239853,0
239854,0
239855,0
239856,0
239865,26
240261,10.7083
240276,9.6875
24065,26
240929,12.65
24160,211.3375
242963,13
243847,27
243880,13
244252,26
244270,13
244278,10.5
244310,13
244346,13
244358,26
244360,13
244361,13
244367,26
244368,13
244373,13
248659,13
248698,13
248706,16
248723,13
248726,13.5
248727,33
248731,13.5
248733,13
248734,13
248738,29
248740,13
248744,13
248746,13
248747,13
250643,13
250644,19.5
250646,13
250647,13
250648,13
250649,14.5
250650,13
250651,26
250652,13
250653,13
250655,26
2543,28.5375
2620,7.225
2621,6.4375
2622,7.2292
2623,7.225
2624,7.225
2625,8.5167
2626,7.2292
2627,14.4583
2628,7.225
2629,7.2292
2631,7.225
26360,26
2641,7.2292
2647,7.225
2648,4.0125
2649,7.225
2650,15.2458
2651,11.2417
2652,7.2292
2653,15.7417
2654,7.2292
2655,7.2292
2656,7.225
2657,7.2292
2658,7.225
2659,14.4542
2660,14.4542
2661,15.2458
2662,21.6792
2663,7.2292
2664,7.225
2665,14.4542
2666,19.2583
2667,7.225
2668,22.3583
2669,7.2292
2670,7.225
26707,26
2671,7.2292
2672,7.225
2673,7.2292
2674,7.225
2675,7.2292
2676,7.225
2677,7.2292
2678,15.2458
2679,7.225
2680,14.4542
2681,6.4375
2682,7.2292
2683,6.4375
2684,7.225
2685,7.2292
2686,7.2292
2687,7.2292
2688,7.2292
2689,14.4583
2690,7.2292
2691,14.4542
2692,7.225
2693,7.2292
2694,7.225
2695,7.2292
2696,7.225
2697,7.2292
2698,7.225
2699,18.7875
2700,7.2292
27042,30
27267,13
27849,13
28004,10.5
28034,10.5
28133,11.5
28134,11.5
28206,10.5
28213,13
28220,32.5
28221,13
28228,13
28403,26
28404,13
28424,13
28425,13
28551,13
28664,21
28665,10.5
28666,10.5
29011,14
2908,26
29103,23
29104,11.5
29105,23
29106,18.75
29107,11.5
29108,11.5
2926,26
29750,39
29751,13
3101264,6.4958
3101265,7.4958
3101266,6.4958
3101267,6.4958
3101276,7.925
3101277,7.925
3101278,15.85
3101281,7.925
3101295,39.6875
3101296,7.925
3101297,7.925
3101298,12.2875
31027,21
31028,10.5
312991,7.775
312992,7.775
312993,7.775
31418,13
315037,8.6625
315082,7.875
315083,8.6625
315084,8.6625
315085,8.6625
315086,8.6625
315087,8.6625
315088,8.6625
315089,8.6625
315090,8.6625
315091,8.6625
315092,8.6625
315093,8.6625
315094,8.6625
315095,8.6625
315096,8.6625
315097,8.6625
315098,8.6625
315151,8.6625
315152,8.6625
315153,22.025
315154,8.6625
32302,8.05
323592,7.25
323951,8.05
324669,8.05
329944,7.2833
330844,7.8792
330877,8.4583
330909,7.6292
330910,7.8792
330911,7.8292
330919,7.8292
330920,7.8208
330923,8.0292
330924,7.8792
330931,7.8792
330932,7.7875
330935,8.1375
330958,7.8792
330959,7.8792
330963,7.8792
330968,7.7792
330971,7.8792
330972,7.6292
330979,7.8292
330980,7.8792
334912,7.7333
334914,7.725
334915,7.7208
335097,7.75
335432,7.7333
335677,7.75
33638,81.8583
336439,7.75
3410,8.7125
3411,8.7125
341826,8.05
34218,10.5
342441,8.05
342684,8.05
342712,8.05
342826,8.05
343095,8.05
343120,7.65
343271,7
343275,8.05
343276,8.05
345364,6.2375
345498,7.775
345501,7.775
345572,17.4
345763,18
345764,18
345765,9
345767,9
345768,9.5
345769,9.5
345770,9.5
345771,9.5
345773,24.15
345774,9.5
345775,9.5
345777,9.5
345778,9.5
345779,9.5
345780,9.5
345781,9.5
345783,9.5
3460,7.0458
3470,7.8875
347054,10.4625
347060,7.775
347061,6.975
347062,7.775
347063,7.775
347064,7.75
347065,7.775
347066,7.775
347067,7.775
347068,7.775
347069,7.775
347070,7.775
347071,7.775
347072,13.9
347073,7.75
347074,7.775
347075,7.775
347076,7.775
347077,31.3875
347078,7.75
347079,7.775
347080,14.4
347081,7.75
347082,31.275
347083,7.775
347085,7.775
347086,7.775
347087,7.775
347088,27.9
347089,6.975
347090,7.75
347091,7.775
3474,7.8875
347464,7.8542
347465,7.8542
347466,7.8542
347467,7.8542
347468,7.8542
347469,7.8542
347470,7.8542
347471,7.8542
347742,11.1333
347743,7.0542
348121,7.65
348122,7.65
348123,7.65
348124,7.65
348125,7.65
349201,7.8958
349202,7.8958
349203,7.8958
349204,7.8958
349205,7.8958
349206,7.8958
349207,7.8958
349208,7.8958
349209,7.4958
349210,7.4958
349211,7.8958
349212,7.8958
349213,7.8958
349214,7.8958
349215,7.8958
349216,7.8958
349217,7.8958
349218,7.8958
349219,7.8958
349220,7.8958
349221,7.8958
349222,7.8958
349223,7.8958
349224,7.8958
349225,7.8958
349226,7.8958
349227,7.8958
349228,10.1708
349229,7.8958
349230,7.8958
349231,7.8958
349232,7.8958
349233,7.8958
349234,7.8958
349235,7.8958
349236,8.85
349237,17.8
349238,7.8958
349239,8.6625
349240,7.8958
349241,7.8958
349242,7.8958
349243,7.8958
349244,8.6833
349245,7.8958
349246,7.8958
349247,7.8958
349248,7.8958
349249,7.8958
349250,7.8958
349251,7.8958
349252,7.8958
349253,7.8958
349254,7.8958
349255,7.8958
349256,13.4167
349257,7.8958
349909,21.075
349910,15.55
349911,7.775
349912,7.775
350025,7.8542
350026,14.1083
350029,7.8542
350033,7.7958
350034,7.7958
350035,7.7958
350036,7.7958
350042,7.7958
350043,7.7958
350045,7.7958
350046,7.8542
350047,7.8542
350048,7.0542
350050,7.8542
350052,7.7958
350053,7.7958
350054,7.7958
350060,7.5208
350403,7.5792
350404,7.8542
350405,12.1833
350406,7.8542
350407,7.8542
350408,7.8542
350409,7.8542
350410,7.8542
350416,7.8542
350417,7.8542
35273,113.275
35281,77.2875
35851,7.7333
35852,7.7333
358585,14.5
359306,8.05
359309,8.05
36209,7.725
362316,7.25
363272,7
363291,20.525
363294,8.05
363592,8.05
363611,8.05
364498,14.5
364499,8.05
364500,7.25
364506,8.05
364511,8.05
364512,8.05
364516,12.475
364846,7.75
364848,7.75
364849,15.5
364850,7.75
364851,7.75
364856,7.75
364858,7.75
364859,7.75
365222,6.75
365226,6.75
365235,7.75
365237,7.75
36568,15.5
366713,7.75
367226,23.25
367227,7.75
367228,7.75
367229,7.75
367230,15.5
367231,7.75
367232,7.75
367655,7.7292
368323,6.95
368364,7.75
368402,7.75
368573,7.75
36864,7.7417
36865,7.7375
36866,7.7375
368702,7.75
368703,7.75
368783,7.75
36928,164.8667
36947,78.2667
36963,32.3208
36967,34.0208
36973,83.475
3701,
370129,20.2125
370365,15.5
370368,7.75
370369,7.75
370370,7.75
370371,15.5
370372,7.75
370373,7.75
370374,7.75
370375,7.75
370376,7.75
370377,7.75
371060,7.75
371109,7.25
371110,24.15
371362,16.1
372622,7.75
373450,8.05
374746,8.05
374887,7.25
374910,8.05
376563,8.05
376564,16.1
376566,16.1
382649,7.75
382650,6.95
382651,7.75
382652,29.125
382653,7.75
383121,7.75
383123,7.75
383162,7.75
384461,7.75
386525,16.1
392091,9.35
392092,8.05
392095,7.25
392096,12.475
394140,6.8583
4133,25.4667
4134,9.5875
4135,9.5875
4136,9.825
4137,9.825
4138,9.8417
4579,8.4042
54636,16.1
5727,25.5875
65303,19.9667
65304,19.9667
65305,8.1125
65306,8.1125
6563,9.225
680,50
693,26
694,26
695,5
7266,9.325
7267,9.225
7534,9.8458
7538,9.225
7540,8.6542
7545,9.4833
7546,9.475
7548,8.9625
7552,10.5167
7553,9.8375
7598,8.05
7935,7.75
8471,8.3625
8475,8.4333
9232,7.75
9234,7.75
A. 2. 39186,8.05
A./5. 2152,8.05
A./5. 3235,8.05
A./5. 3338,8.05
A.5. 11206,8.05
A.5. 18509,8.05
A.5. 3236,8.05
A/4 31416,8.05
A/4 45380,8.05
A/4 48871,24.15
A/4 48873,8.05
A/4. 20589,8.05
A/4. 34244,7.25
A/4. 39886,7.8
A/5 1478,8.05
A/5 21171,7.25
A/5 21172,7.25
A/5 21173,7.25
A/5 21174,7.25
A/5 21175,7.25
A/5 2466,8.05
A/5 2817,8.05
A/5 3536,8.05
A/5 3540,8.05
A/5 3594,8.05
A/5 3902,7.25
A/5. 10482,8.05
A/5. 13032,7.7333
A/5. 2151,8.05
A/5. 3336,16.1
A/5. 3337,14.5
A/5. 851,14.5
A/S 2816,8.05
A4. 54510,8.05
AQ/3. 30631,7.7333
AQ/4 3130,7.75
C 17368,3.1708
C 17369,7.1417
C 4001,22.525
C 7075,6.45
C 7076,7.25
C 7077,7.25
C.A. 15185,10.5
C.A. 17248,10.5
C.A. 18723,10.5
C.A. 2315,20.575
C.A. 24579,10.5
C.A. 24580,10.5
C.A. 2673,20.25
C.A. 29178,13
C.A. 29395,10.5
C.A. 29566,10.5
C.A. 30769,10.5
C.A. 31026,10.5
C.A. 31029,31.5
C.A. 31030,10.5
C.A. 31921,26.25
C.A. 33111,10.5
C.A. 33112,36.75
C.A. 33595,15.75
C.A. 34050,10.5
C.A. 34260,10.5
C.A. 34644,12.7375
C.A. 34651,27.75
C.A. 37671,15.9
C.A. 42795,7.55
C.A. 49867,7.55
C.A. 5547,7.55
C.A. 6212,15.1
C.A./SOTON 34068,10.5
CA 2144,46.9
CA 31352,21
CA. 2314,7.55
CA. 2343,69.55
F.C. 12750,52
F.C. 12998,25.7417
F.C.C. 13528,21
F.C.C. 13529,26.25
F.C.C. 13531,10.5
F.C.C. 13534,21
F.C.C. 13540,10.5
Fa 265302,7.3125
LINE,0
LP 1588,7.575
P/PP 3381,24
PC 17318,25.925
PC 17473,26.2875
PC 17474,26.3875
PC 17475,26.2875
PC 17476,26.2875
PC 17477,69.3
PC 17482,49.5042
PC 17483,221.7792
PC 17485,56.9292
PC 17531,31.6792
PC 17558,247.5208
PC 17562,27.7208
PC 17569,146.5208
PC 17572,76.7292
PC 17580,29.7
PC 17582,153.4625
PC 17585,79.2
PC 17590,50.4958
PC 17591,50.4958
PC 17592,39.4
PC 17593,79.2
PC 17594,29.7
PC 17595,28.7125
PC 17596,29.7
PC 17597,61.3792
PC 17598,31.6833
PC 17599,71.2833
PC 17600,30.6958
PC 17601,27.7208
PC 17603,59.4
PC 17604,82.1708
PC 17605,27.7208
PC 17606,27.4458
PC 17607,39.6
PC 17608,262.375
PC 17609,49.5042
PC 17610,27.7208
PC 17611,133.65
PC 17612,27.7208
PC 17613,27.7208
PC 17754,34.6542
PC 17755,512.3292
PC 17756,83.1583
PC 17757,227.525
PC 17758,108.9
PC 17759,63.3583
PC 17760,135.6333
PC 17761,106.425
PP 4348,9.35
PP 9549,16.7
S.C./A.4. 23567,8.05
S.C./PARIS 2079,37.0042
S.O./P.P. 2,21
S.O./P.P. 251,7.55
S.O./P.P. 3,10.5
S.O./P.P. 751,7.55
S.O./P.P. 752,7.55
S.O.C. 14879,73.5
S.O.P. 1166,12.525
S.P. 3464,8.1583
S.W./PP 752,10.5
SC 14888,10.5
SC 1748,12
SC/A.3 2861,15.5792
SC/A4 23568,8.05
SC/AH 29037,26
SC/AH 3085,26
SC/AH Basle 541,13.7917
SC/Paris 2123,41.5792
SC/PARIS 2131,15.05
SC/PARIS 2133,15.0458
SC/PARIS 2146,13.8625
SC/PARIS 2147,13.8583
SC/PARIS 2148,13.8583
SC/PARIS 2149,13.8583
SC/PARIS 2159,12.875
SC/Paris 2163,12.875
SC/PARIS 2166,13.8625
SC/PARIS 2167,27.7208
SC/PARIS 2168,15.0333
SCO/W 1585,12.275
SO/C 14885,10.5
SOTON/O.Q. 3101262,7.25
SOTON/O.Q. 3101263,7.85
SOTON/O.Q. 3101305,7.05
SOTON/O.Q. 3101306,7.05
SOTON/O.Q. 3101307,7.05
SOTON/O.Q. 3101308,7.05
SOTON/O.Q. 3101309,7.05
SOTON/O.Q. 3101310,7.05
SOTON/O.Q. 3101311,7.05
SOTON/O.Q. 3101312,7.05
SOTON/O.Q. 3101314,7.25
SOTON/O.Q. 3101315,13.775
SOTON/O.Q. 392078,8.05
SOTON/O.Q. 392087,8.05
SOTON/O2 3101272,7.125
SOTON/O2 3101284,7.925
SOTON/O2 3101287,7.925
SOTON/OQ 3101316,8.05
SOTON/OQ 3101317,7.25
SOTON/OQ 392076,7.05
SOTON/OQ 392082,8.05
SOTON/OQ 392083,8.05
SOTON/OQ 392086,8.05
SOTON/OQ 392089,8.05
SOTON/OQ 392090,8.05
STON/O 2. 3101268,7.925
STON/O 2. 3101269,7.925
STON/O 2. 3101273,7.125
STON/O 2. 3101274,7.125
STON/O 2. 3101275,7.125
STON/O 2. 3101280,7.925
STON/O 2. 3101285,7.925
STON/O 2. 3101286,7.925
STON/O 2. 3101288,7.925
STON/O 2. 3101289,7.925
STON/O 2. 3101291,7.925
STON/O 2. 3101292,7.925
STON/O 2. 3101293,7.925
STON/O 2. 3101294,7.925
STON/O2. 3101270,7.925
STON/O2. 3101271,7.925
STON/O2. 3101279,15.85
STON/O2. 3101282,7.925
STON/O2. 3101283,7.925
STON/O2. 3101290,7.925
STON/OQ. 369943,8.05
SW/PP 751,10.5
W./C. 14258,10.5
W./C. 14260,10.5
W./C. 14263,10.5
W./C. 14266,10.5
W./C. 6607,23.45
W./C. 6608,34.375
W./C. 6609,7.55
W.E.P. 5734,61.175
W/C 14208,10.5
WE/P 5735,71
